Product,SKU,Brand,Product Line,Classification,Shelf Inventory,Wholesale Price,Amount Sold (Units),Product
Skunky Jack (CO2 Full Spectrum Luster Pod .84g),7146skunkyjackLP,Pure Ohio Wellness,Luster Pod (CO2 Full Spectrum),Medical,0,$400.00 ,220,Skunky Jack (CO2 Full Spectrum Luster Pod .84g)
Pure Balance 1:1 (CO2 Full Spectrum Disposable Vape Pen .5g),6941purebalanceDVP,Pure Ohio Wellness,Disposable Vape Pen (CO2 Full Spectrum),Medical,100,$750.00 ,200,Pure Balance 1:1 (CO2 Full Spectrum Disposable Vape Pen .5g)
Gypsy Soap (CO2 Full Spectrum Disposable Vape Pen .5g),7169gypsysoapDVP,Pure Ohio Wellness,Disposable Vape Pen (CO2 Full Spectrum),Medical,0,$750.00 ,200,Gypsy Soap (CO2 Full Spectrum Disposable Vape Pen .5g)
Amarelo (CO2 Full Spectrum Disposable Vape Pen .5g),7681amareloDVP,Pure Ohio Wellness,Disposable Vape Pen (CO2 Full Spectrum),Medical,50,$750.00 ,200,Amarelo (CO2 Full Spectrum Disposable Vape Pen .5g)
Strawberry Cough (Infused Distillate 510 Cartridge .84g),7762strawcough510,Pure Ohio Wellness,510 Cartridge (Distillate),Medical,0,$400.00 ,200,Strawberry Cough (Infused Distillate 510 Cartridge .84g)
Blueberry Banana Pancake (Infused Distillate Disposable Vape Pen .5g),9947bluebanpanDVP,Pure Ohio Wellness,Disposable Vape Pen (Distillate),Medical,0,$750.00 ,200,Blueberry Banana Pancake (Infused Distillate Disposable Vape Pen .5g)
Skunky Jack (CO2 Full Spectrum Luster Pod .84g),9994skunkyjackLP,Pure Ohio Wellness,Luster Pod (CO2 Full Spectrum),Medical,0,$400.00 ,200,Skunky Jack (CO2 Full Spectrum Luster Pod .84g)
Lemon Drip (CO2 Full Spectrum Luster Pod .84g),9949lemondripLP,Pure Ohio Wellness,Luster Pod (CO2 Full Spectrum),Medical,40,$400.00 ,200,Lemon Drip (CO2 Full Spectrum Luster Pod .84g)
Animal Mints (Live Rosin Badder .84g),7187animalmintsBAD,Pure Ohio Wellness,Badder (Live Rosin),Medical,0,$595.00 ,200,Animal Mints (Live Rosin Badder .84g)
Gelato (CO2 Full Spectrum Disposable Vape Pen .5g),7712gelatoDVP,Pure Ohio Wellness,Disposable Vape Pen (CO2 Full Spectrum),Medical,150,$750.00 ,200,Gelato (CO2 Full Spectrum Disposable Vape Pen .5g)
